School Code,School Name,Framework,Overall PMF Score 2014,PMF Tier 2014,Student Growth (MGP) in  Reading 2014,Student Growth (MGP) in Math 2014,Elementary 2014 DC CAS Reading Proficient and Advanced,Elementary 2014 DC CAS Math Proficient and Advanced,Elementary DC CAS Reading Advanced Only 2014,Elementary DC CAS Math Advanced Only 2014,Middle DC CAS Reading Proficient and Advanced 2014,Middle DC CAS Math Proficient and Advanced 2014,Middle DC CAS Reading Advanced Only 2014,Middle DC CAS Math Advanced Only 2014,3rd Grade Reading Proficient and Advanced 2014,8th Grade Math Proficient and Advanced 2014,Elementary and Middle Attendance 2014,Elementary and Middle Re-enrollment 2014
1100,Achievement Preparatory Academy PCS Ð Middle,ESMS,78.9,1,53.4,67.1,51.5,74.3,3.4,33.0,71.4,90.9,9.1,40.3,N/A,96.7,92.9,87.7
3068,BASIS DC PCS,MS,71.9,1,51.4,49.8,N/A,N/A,N/A,N/A,84.6,81.3,23.1,44.1,N/A,93.0,95.7,85.9
182,Capital City PCS Ð Middle School,MS,44.1,2,47.9,38.3,N/A,N/A,N/A,N/A,52.3,49.8,8.1,9.7,N/A,56.5,94.5,95
184,Capital City PCS Ð Lower School,ES,50.7,2,48.3,45,51.0,54.0,0.8,13.0,N/A,N/A,N/A,N/A,49.0,N/A,94.8,87.8
1103,Center City PCS Ð Brightwood,ESMS,74.4,1,63,63.2,69.3,65.3,5.3,18.7,57.8,68.8,12.5,29.7,64.0,73.7,94.6,90.8
1104,Center City PCS Ð Capitol Hill,ESMS,43.5,2,48,47.8,26.9,32.8,1.5,3.0,55.9,51.5,1.5,1.5,37.5,86.4,91.2,76.6
1105,Center City PCS Ð Congress Heights,ESMS,65.7,1,68.2,62.7,41.4,47.1,0.0,0.0,67.8,71.2,8.5,20.3,33.3,93.8,91.8,70.8
1106,Center City PCS Ð Petworth,ESMS,56.2,2,58.3,50.3,49.4,54.5,1.3,16.9,60.0,51.6,20.0,14.5,37.5,62.5,94.4,84.3
1107,Center City PCS Ð Shaw,ESMS,68.8,1,66.9,61.2,51.4,58.1,6.8,9.5,49.3,58.9,8.2,8.2,37.5,77.3,92.2,89.6
1108,Center City PCS Ð Trinidad,ESMS,31.7,3,41.8,42.2,28.4,36.0,2.7,10.7,45.8,40.0,3.4,5.0,40.0,56.3,91.7,69.2
102,CŽsar Ch‡vez PCS for Public Policy Ð Parkside Middle School,MS,40.9,2,40.5,47.5,N/A,N/A,N/A,N/A,39.9,48.6,2.5,3.9,N/A,66.3,91.8,81.2
127,CŽsar Ch‡vez PCS for Public Policy Ð Ch‡vez Prep,MS,59.8,2,51.7,51.5,N/A,N/A,N/A,N/A,53.7,67.3,6.6,16.2,N/A,76.9,94.4,86.5
105,Community Academy PCS Ð Amos 1,ES,55,2,60.5,47.9,53.4,43.6,0.3,8.0,N/A,N/A,N/A,N/A,46.5,N/A,94.2,85.7
106,Community Academy PCS Ð Amos 5,ES,43,2,55.1,39.8,60.0,50.9,0.0,12.7,N/A,N/A,N/A,N/A,52.4,N/A,94.5,52.5
108,Community Academy PCS Ð CAPCS Online,ESMS,55.3,2,51.7,53.2,71.1,55.3,2.6,2.6,85.0,75.0,17.5,42.5,64.7,73.3,99.3,60.3
199,DC Bilingual PCS,ES,62.1,2,59.4,50.4,60.1,63.2,0.8,10.4,N/A,N/A,N/A,N/A,50.0,N/A,95.6,97.6
196,DC Prep PCS Ð Edgewood Middle,ESMS,91.1,1,65.5,70.7,83.1,89.4,8.5,50.7,78.6,93.9,26.7,61.8,N/A,100.0,95.6,84.3
218,DC Prep PCS Ð Benning Middle,ES,N/A,N/A,77.5,79,78.4,83.8,0.8,45.9,N/A,N/A,N/A,N/A,0.0,N/A,94.5,0
3070,DC Scholars PCS,ES,50.9,2,53,42.5,47.4,70.2,0.3,12.3,N/A,N/A,N/A,N/A,33.3,N/A,93.6,100
146,E.L. Haynes PCS Ð Georgia Avenue,MS,61.9,2,56.5,48.6,N/A,N/A,N/A,N/A,58.0,66.8,12.8,19.2,N/A,70.4,94.6,91.4
1206,E.L. Haynes PCS Ð Kansas Avenue (Elementary School),ES,64.8,2,49,75,53.4,56.2,0.7,18.5,N/A,N/A,N/A,N/A,46.6,N/A,96.2,94.6
159,Elsie Whitlow Stokes Community Freedom PCS,ES,63.3,2,49.2,52.6,63.8,67.8,0.6,15.4,N/A,N/A,N/A,N/A,79.5,N/A,94.9,85.2
1211,Excel Academy PCS Ð LEAD,ES,37.6,2,53.3,39.3,44.9,35.7,0.3,6.5,N/A,N/A,N/A,N/A,33.3,N/A,89.1,80
113,Friendship PCS Ð Southeast Elementary Academy,ES,65.2,1,53.5,65,53.0,57.4,0.3,12.0,N/A,N/A,N/A,N/A,55.7,N/A,94.2,89.1
362,Friendship PCS Ð Blow-Pierce Middle,ESMS,54.4,2,58,59,38.3,34.0,0.0,10.6,41.1,51.7,2.9,10.1,N/A,73.6,89.6,77.8
364,Friendship PCS Ð Chamberlain Middle,ESMS,77.1,1,57,76,43.7,68.9,2.2,18.5,55.3,68.9,3.9,21.8,N/A,92.2,94.4,90.7
366,Friendship PCS Ð Woodridge Middle,ESMS,65.1,1,64,61,34.2,50.6,1.3,12.7,55.9,63.8,6.3,12.6,N/A,65.3,93.4,86.4
1124,Friendship PCS Ð Technology Preparatory Academy,MS,39.9,2,42.5,41.1,N/A,N/A,N/A,N/A,37.8,48.6,2.0,6.8,N/A,68.8,94.5,82.4
114,Hope Community PCS Ð Tolson,ESMS,50.3,2,49.9,46.5,48.4,51.6,2.1,9.5,58.7,65.1,14.3,17.5,55.3,80.0,96.6,73.7
131,Hope Community PCS Ð Lamond,ES,45.9,2,46.6,48.8,55.4,56.8,0.5,13.5,N/A,N/A,N/A,N/A,45.7,N/A,92.8,70.6
115,Howard University Middle School of Mathematics and Science PCS,MS,62.9,2,45.5,51.6,N/A,N/A,N/A,N/A,68.0,79.1,11.7,27.6,N/A,90.7,89.8,84.6
134,Ideal Academy PCS,ESMS,37.6,2,50.1,47.8,46.8,41.3,3.2,7.9,46.2,31.5,1.9,5.6,38.5,28.6,94.6,68.1
3064,Inspired Teaching Demonstration PCS,ES,53.9,2,47.7,36,69.8,60.0,1.5,18.2,N/A,N/A,N/A,N/A,81.0,N/A,94.6,80.6
