School Information,,,,Demographics,,,,,,,,,,,,Student Progress,,,Student Achievement,,,,,Gateway,,,,,,,,,School Environment,,,,,,,,,
School Code,School Name,Framework,School Ward,Asian (%),Black / African American (%),Hispanic (%),Multiracial (%),Native American (%),Pacific Islander / Native Hawaiian (%),White (%),At Risk (%),Economically Disadvantaged (%)*,ELL (%),SPED (%),Audited Enrollment (#),Assessment,"Math
 (%)",Reading  (%),Assessment,ELA Levels 3+ (%),ELA Levels 4+ (%),Math Levels 3+ (%),Math Levels 4+ (%),Gateway: 3rd Grade ELA Levels 3+ (%),Gateway: 8th Grade Math Levels 3+ (%),AP / IB / Dual Enrollment  (%),College Acceptance Rate (%),2015 5-Year Graduation Rate (%),2014 4-Year Graduation Rate (%),9th Grade on Track (%),PSAT Performance (%),SAT Performance (%),Attendance (ISA) (%),Reenrollment Rate (%),CLASS: Emotional Support (%),CLASS: Classroom Organization (%),CLASS: Instructional Support (%),9th Grade on Track (%),,,,
217,Achievement Preparatory Academy PCS Ð Elementary,EC/ES/MS,8,0.0,99.6,0.0,0.0,0.0,0.0,0.4,51.3,68.5,0.4,11.2,267,NWEA,35.9,27.3,PARCC,37.5,14.3,71.4,26.8,36.7,,,,,,,,,92.1,82.9,,,,,,,,
1100,Achievement Preparatory Academy PCS Ð Middle,EC/ES/MS,8,0.0,99.5,0.0,0.0,0.0,0.0,0.5,51.2,71.4,0.0,14.2,381,PARCC,53.9,47.9,PARCC,57.8,29.7,69.5,32.8,,87.2,,,,,,,,92.6,79.2,,,,,,,,
140,AppleTree Early Learning PCS Ð Columbia Heights,EC Only,1,1.8,69.3,8.0,0.0,0.0,0.0,20.9,37.4,100.0,22.7,8.6,163,,,,,,,,,,,,,,,,,,88.8,,5.6,5.4,2.4,,,,,
3073,AppleTree Early Learning PCS Ð Lincoln Park,EC Only,6,6.7,46.7,3.3,0.0,0.0,0.0,43.3,10.0,100.0,3.3,10.0,60,,,,,,,,,,,,,,,,,,92.8,,6.0,5.6,2.6,,,,,
1137,AppleTree Early Learning PCS Ð Oklahoma Ave,EC Only,7,0.0,98.1,0.6,0.0,0.0,0.0,1.2,52.2,100.0,1.9,4.3,161,,,,,,,,,,,,,,,,,,85.6,,5.6,5.2,2.7,,,,,
3072,AppleTree Early Learning PCS Ð Southeast,EC Only,8,0.6,98.9,0.6,0.0,0.0,0.0,0.0,73.6,100.0,0.6,4.5,178,,,,,,,,,,,,,,,,,,87.6,,5.7,5.5,2.5,,,,,
141,AppleTree Early Learning PCS Ð Southwest,EC Only,6,1.2,87.2,1.2,0.0,2.3,0.0,8.1,48.8,100.0,4.7,3.5,86,,,,,,,,,,,,,,,,,,87.6,,5.7,5.0,2.3,,,,,
3068,BASIS DC PCS - Middle School,EC/ES/MS,2,4.7,42.1,7.1,5.6,0.2,0.4,39.9,9.8,17.4,0.0,4.7,551,PARCC,58.1,60.1,PARCC,90.4,67.5,86.4,59.2,,83.9,,,,,,,,95.2,79.6,,,,,,,,
3068,BASIS DC PCS - High School,HS,2,4.7,42.1,7.1,5.6,0.2,0.4,39.9,9.8,17.4,0.0,4.7,551,,,,PARCC,100.0,72.7,100.0,100.0,,,,,,,100.0,,,94.5,85.2,,,,100.0,,,,
142,Bridges PCS,EC/ES/MS,4,1.8,40.4,33.8,3.3,0.0,0.0,20.6,36.4,60.3,37.5,30.9,272,,,,,,,,,,,,,,,,,,91.7,76.0,5.8,5.5,2.9,,,,,
126,Briya PCS,EC Only,1,3.9,16.5,78.0,0.2,0.0,0.0,1.4,6.1,100.0,84.7,15.6,492,,,,,,,,,,,,,,,,,,83.0,,6.5,5.9,3.4,,,,,
1207,Capital City PCS Ð High School,HS,4,2.7,34.7,59.6,1.5,0.0,0.6,0.9,45.6,83.9,15.2,18.8,329,,,,PARCC,58.4,32.5,37.5,6.9,,,69.4,100.0,83.6,75.3,84.2,31.3,52.8,91.4,80.6,,,,84.2,,,,
