School Code,School Name,2014 TIER,Early Childhood Grades Served,Name of PK Literacy Assessment,Name of PK Math Assessment,Name of PK Social Emotional Assessment (Optional),PK Literacy Growth 2014,PK Math Growth 2014,PK Social Emotional Growth (Optional),PK CLASS Classroom Organization Score 2014,PK CLASS Emotional Support Score 2014,PK CLASS Instructional Support  Score 2014,PK Attendance 2014,Name of K-2 Reading Assessment,Name of K-2 Math Assessment,Name of K-2 Social Emotional Assessment (Optional),K-2 Reading Achievement/Growth score 2014,K-2 Math Achievement/Growth Score 2014,K-2 Social Emotional Score 2014 (optional),3rd Grade Reading Proficient and Advanced on the 2014 DC CAS,3rd Grade Reading DC CAS Advanced Score 2014,3rd Grade Math DC CAS Proficient and Advanced Score 2014,3rd Grade Math DC CAS Advanced Score 2014,Lower Elementary Attendance 2014,Lower Elementary Re-enrollment 2014
1206,E.L. Haynes PCS Ð Kansas Avenue (Elementary School),Untiered ,PK3 - 2,- Individual Growth and Development Indicators (myIGDI),- Individual Growth and Development Indicators (myIGDI),NA,53,44.6,NA,5,5.6,2.4,94.3,- Fountas & Pinnell,- Northwest Evaluation Association Measure of Academic Progress,NA,80,85.5,NA,NA,NA,NA,NA,95.4,92.6
140,AppleTree Early Learning PCS Ð Columbia Heights,Untiered ,PK3 - PK4,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,- Every Child Ready (ECR),63.5,80.4,85.1,5.3,5.5,2.7,87.2,NA,NA,NA,,,NA,NA,NA,NA,NA,,
3073,AppleTree Early Learning PCS Ð Lincoln Park,Untiered ,PK3 - PK4,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,- Every Child Ready (ECR),82,85.2,83.6,5.4,5.8,2.7,92.1,NA,NA,NA,,,NA,NA,NA,NA,NA,,
1137,AppleTree Early Learning PCS Ð Oklahoma Ave,Untiered ,PK3 - PK4,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,- Every Child Ready (ECR),56.5,68.3,70.2,4.8,5.3,2.4,84.2,NA,NA,NA,,,NA,NA,NA,NA,NA,,
3072,AppleTree Early Learning PCS Ð Southeast,Untiered ,PK3 - PK4,- Every Child Ready (ECR),- Every Child Ready (ECR),- Every Child Ready (ECR),46.4,55.4,69.3,5.4,5.7,2.4,82.2,NA,NA,NA,,,NA,NA,NA,NA,NA,,
141,AppleTree Early Learning PCS Ð Southwest,Untiered ,PK3 - PK4,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,- Every Child Ready (ECR),67.6,81.7,64.8,5.5,5.9,2.3,89,NA,NA,NA,,,NA,NA,NA,NA,NA,,
142,Bridges PCS,Untiered ,PK3 - 1,"- Peabody Picture Vocabulary Test, Verbal Beh. Milestones (alt. students)","- Learning Accomplishment Profile-3, Verbal Beh. Milestones (alt. students)",NA,96.8,93.6,NA,5.3,5.9,3.1,91.4,"- Peabody Picture Vocabulary Test, Verbal Beh. Milestones (alt. students)","- Test of Early Math Ability, Verbal Beh. Milestones (alt. students)",NA,91.4,84,NA,NA,NA,NA,NA,92.2,100
126,Briya PCS ,Untiered ,PK3 - PK4,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,91.7,97.2,100.0,5.6,6.2,3.8,81.6,NA,NA,NA,,,NA,NA,NA,NA,NA,,
184,Capital City PCS Ð Lower School,Untiered ,PK3 - 2,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,NA,88.9,76.4,NA,5.5,5.9,2.4,91.5,"- PALS (K), Developmental Reading Assessment (DRA) (1-2)",- Northwest Evaluation Association Measure of Academic Progress,NA,56.3,75.7,NA,NA,NA,NA,NA,93.6,95.1
188,Cedar Tree Academy PCS,Untiered ,PK3 - K,- Individual Growth and Development Indicators (myIGDI),- Individual Growth and Development Indicators (myIGDI),NA,76.5,50.4,NA,5.1,5.8,2.7,84.7,- Scantron Performance Series,- Scantron Performance Series,NA,80.3,72.1,NA,NA,NA,NA,NA,86.4,
1103,Center City PCS Ð Brightwood,Untiered ,PK4 - 2,- Every Child Ready (ECR),- Every Child Ready (ECR),NA,95,100,NA,5.9,6.1,3.4,91.6,- mCLASS:TRC,- Northwest Evaluation Association Measure of Academic Progress,NA,41,94.9,NA,NA,NA,NA,NA,95.3,95.7
1104,Center City PCS Ð Capitol Hill,Untiered ,PK4 - 2,- Every Child Ready (ECR),- Every Child Ready (ECR),NA,83.3,66.7,NA,5.7,6,3.4,89.8,- mCLASS:TRC,- Northwest Evaluation Association Measure of Academic Progress,NA,42.3,84.5,NA,NA,NA,NA,NA,90.3,78.6
1105,Center City PCS Ð Congress Heights,Untiered ,PK4 - 2,- Every Child Ready (ECR),- Every Child Ready (ECR),NA,100,100,NA,5.7,5.8,3.9,93,- mCLASS:TRC,- Northwest Evaluation Association Measure of Academic Progress,NA,44.8,97,NA,NA,NA,NA,NA,91.5,81.7
1106,Center City PCS Ð Petworth,Untiered ,PK4 - 2,- Every Child Ready (ECR),- Every Child Ready (ECR),NA,78.3,91.3,NA,5.8,5.8,2.3,94.6,- mCLASS:TRC,- Northwest Evaluation Association Measure of Academic Progress,NA,50,91.7,NA,NA,NA,NA,NA,94.1,89.2
1107,Center City PCS Ð Shaw,Untiered ,PK4 - 2,- Every Child Ready (ECR),- Every Child Ready (ECR),NA,61.1,72.2,NA,5.1,5.5,3,93.8,- mCLASS:TRC,- Northwest Evaluation Association Measure of Academic Progress,NA,32.3,86.2,NA,NA,NA,NA,NA,90.9,78.8
1108,Center City PCS Ð Trinidad,Untiered ,PK4 - 2,- Every Child Ready (ECR),- Every Child Ready (ECR),NA,94.4,88.9,NA,5.5,5.7,2.6,91,- mCLASS:TRC,- Northwest Evaluation Association Measure of Academic Progress,NA,40.9,86.4,NA,NA,NA,NA,NA,89.6,71.4
105,Community Academy PCS Ð Amos 1,Untiered ,PK3 - 2,- Core Knowledge Preschool Assessment Tool (CK PAT),- Core Knowledge Preschool Assessment Tool (CK PAT),NA,87.3,93,NA,4.8,5.6,2.4,91.1,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,70.3,81.9,NA,NA,NA,NA,NA,93.9,84.4
158,Community Academy PCS Ð Amos 2,Untiered ,PK3 - K,- Core Knowledge Preschool Assessment Tool (CK PAT),- Core Knowledge Preschool Assessment Tool (CK PAT),NA,64.7,85.6,NA,4.4,5.5,2,89.9,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,68.9,71.1,NA,NA,NA,NA,NA,91,
106,Community Academy PCS Ð Butler Global,Untiered ,PK3 - 2,- Core Knowledge Preschool Assessment Tool (CK PAT),- Core Knowledge Preschool Assessment Tool (CK PAT),NA,82.8,86.2,NA,5.4,5.8,2.2,93.1,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,84.5,85.3,NA,NA,NA,NA,NA,92.9,49.6
108,Community Academy PCS Ð CAPCS Online,Untiered ,K - 2,NA,NA,NA,,,NA,,,,,"- NWEA Measure of Acad. Progress (Progress), K12 Online (Ach.)","- NWEA Measure of Acad. Progress (Progress), K12 Online (Ach.)",NA,90.6,90.6,NA,NA,NA,NA,NA,96.3,61.8
3069,Creative Minds International PCS,Untiered ,PK3 - 3,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,NA,100,96.9,NA,5.7,6,2.3,90,- Developmental Reading Assessment (DRA),- Group Mathematics Assessment and Diagnostic Evaluation (GMADEª) ,NA,91.5,96.6,NA,NA,NA,NA,NA,90.4,92.1
199,DC Bilingual PCS,Untiered ,PK3 - 2,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,NA,98.8,100,NA,5.8,5.8,2.8,94.3,- Fountas & Pinnell,- Terra Nova,NA,80.2,87.3,NA,NA,NA,NA,NA,94.8,97
1110,DC Prep PCS Ð Benning Elementary,Untiered ,PK3 - 3,- Peabody Picture Vocabulary Test (PPVT),- Test of Early Mathematics Ability (TEMA),NA,100,100,NA,5.1,5.3,2.6,94,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,91.3,98.1,NA,70.5,6.6,68.9,24.6,94.9,83.4
130,DC Prep PCS Ð Edgewood Elementary,Untiered ,PK3 - 3,- Peabody Picture Vocabulary Test (PPVT),- Test of Early Mathematics Ability (TEMA),NA,98.5,99.3,NA,5,5.2,2.3,93.4,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,95.2,98.6,NA,69.8,7.9,81.0,25.4,94.8,86.7
3070,DC Scholars PCS,Untiered ,PK3 - 2,- Every Child Ready (ECR),- Every Child Ready (ECR),NA,81.3,86,NA,4.9,5.3,2,90.8,- Fountas & Pinnell,- AIMSweb,NA,46.2,49.6,NA,NA,NA,NA,NA,92.6,71.4
210,"William E. Doar, Jr. PCS for the Performing Arts",Untiered ,PK3 - 2,- mCLASS¨:CIRCLEª,- mCLASS¨:CIRCLEª,NA,78.7,83,NA,5.2,5.4,1.8,89.4,- mCLASS:Reading,- mCLASS:Math,NA,81.3,66.4,NA,NA,NA,NA,NA,93.4,68.8
217,Achievement Prep PCS - Mississippi Ave Elementary,Untiered ,K - 3,NA,NA,NA,,,NA,,,,,- Strategic Teaching and Evaluation of Progress (STEP),- Northwest Evaluation Association Measure of Academic Progress,NA,55.9,68.3,NA,36.7,2.0,22.4,0.0,93.1,
138,Early Childhood Academy PCS,Untiered ,PK3 - 3,- Every Child Ready (ECR),- Every Child Ready (ECR),- Every Child Ready (ECR),70.3,84.6,73.6,5.3,5.7,3.7,85,- Developmental Reading Assessment (DRA),- Northwest Evaluation Association Measure of Academic Progress,NA,82,90.6,NA,36.0,0.0,44.8,3.4,88.1,68
159,Elsie Whitlow Stokes Community Freedom PCS,Untiered ,PK3 - 2,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,97.8,84.8,95.7,4.9,5.9,2.1,94.4,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,86.9,91,NA,NA,NA,NA,NA,95.7,94.9
1113,Excel Academy PCS,Untiered ,PK3 - 2,- Brigance Developmental Assessment II/III,- Brigance Developmental Assessment II/III,- Brigance Developmental Assessment II/III,88.4,88.4,85.2,5.3,5.2,2.1,87.2,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,76.7,82.3,NA,NA,NA,NA,NA,88.7,80.9
361,Friendship PCS Ð Blow-Pierce Elementary,Untiered ,PK3 - 3,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,95.5,95.5,91.0,5,5.6,2.2,87.9,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,78.5,87.2,NA,19.6,0.0,15.2,2.2,90.1,76.5
363,Friendship PCS Ð Chamberlain Elementary,Untiered ,PK3 - 3,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,94,96.4,86.9,5.3,5.8,2.1,92.2,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,81.6,91.7,NA,46.5,4.2,59.2,14.1,94,89.9
113,Friendship PCS Ð Southeast Elementary Academy,Untiered ,PK3 - 2,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,95.5,95.5,88.3,5.2,5.5,2.1,92.6,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,87.6,93.6,NA,NA,NA,NA,NA,93.3,87.8
365,Friendship PCS Ð Woodridge Elementary,Untiered ,PK3 - 3,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,94.9,92.9,89.9,5.6,6,2.4,91.2,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,77.8,84.7,NA,34.2,0.0,31.6,10.5,93.6,89.7
131,Hope Community PCS Ð Lamond,Untiered ,PK3 - 2,- mCLASS¨:CIRCLEª,- mCLASS¨:CIRCLEª,NA,88.9,83.7,NA,4.8,5.5,2.4,84.9,- Stanford Achievement Test (SAT 10),- Stanford Achievement Test (SAT 10),NA,73.2,86.9,NA,NA,NA,NA,NA,87.8,79.5
114,Hope Community PCS Ð Tolson,Untiered ,PK3 - 2,- mCLASS¨:CIRCLEª,- mCLASS¨:CIRCLEª,- Data unavailable,87.9,87.1,NA,5.3,5.8,1.8,90,- Stanford Achievement Test (SAT 10),- Stanford Achievement Test (SAT 10),NA,72.6,82.2,NA,NA,NA,NA,NA,93.6,72.5
134,Ideal Academy PCS,Untiered ,PK3 - 2,- Phonological Awareness Literacy Screening (PALS),- Core Knowledge Preschool Assessment Tool (CK PAT),NA,0,36.5,NA,5.5,5.9,2.6,93.4,"- Discovery Predictive (Progress), Stanford 10 (Achievement)","- Discovery Predictive (Progress), Stanford 10 (Achievement)",NA,86.5,91,NA,NA,NA,NA,NA,94.4,68.8
200,Ingenuity Prep PCS,Untiered ,PK3 - K,- Every Child Ready (ECR),- Every Child Ready (ECR),NA,58.3,77.1,NA,6.1,6,3.6,88.5,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,96.3,92.6,NA,NA,NA,NA,NA,87.4,
3064,Inspired Teaching Demonstration PCS,Untiered ,PK3 - 2,- Creative Curriculum- Teaching Strategies GOLD,- Creative Curriculum- Teaching Strategies GOLD,NA,97.7,97.7,NA,5.4,5.8,2.7,92.1,- Developmental Reading Assessment (DRA),- Data Unavailable,NA,84.3,0,NA,NA,NA,NA,NA,,91.3
209,KIPP DC Ð Connect Academy PCS,Untiered ,PK3 - PK4,- Peabody Picture Vocabulary Test (PPVT),- Test of Early Mathematics Ability (TEMA),NA,97.4,95.4,NA,5.2,5.4,2.3,91.1,,,NA,,,NA,NA,NA,NA,NA,,
1122,KIPP DC Ð Discover Academy PCS,Untiered ,PK3 - K,- Peabody Picture Vocabulary Test (PPVT),- Test of Early Mathematics Ability (TEMA),NA,93.9,87.8,NA,5.4,5.4,2.2,92,- Northwest Evaluation Association Measure of Academic Progress,- Northwest Evaluation Association Measure of Academic Progress,NA,93.1,98,NA,NA,NA,NA,NA,90.8,
