School Code,School Name,Overall PMF Score 2014,PMF Tier 2014,Student Growth (MGP) Reading 2014,Student Growth (MGP) Math 2014,DC CAS Reading Proficient and Advanced Scores 2014,DC CAS Math Proficient and Advanced Scores 2014,DC CAS Reading Advanced only scores 2014,DC CAS Math Advanced only scores 2014,4- year Graduation Rate 2014,5- year Graduation Rate 2014,PSAT Performance 2014,SAT/ACT Performance 2014,College Acceptance 2014,AP/IB Performance 2014,Advanced Placement/International Baccalaureate/Dual Enrollment Performance 2014,Attendance Rate 2014,High School Re-enrollment Rate 2014,Percent of 9th Graders on Track to Graduate 2014
1207,Capital City PCS - High School,69.9,1,64.1,51.6,52.8,54.9,15.3,8.5,75.0,89.5,37.5,47.8,98.5,13.4,29.9,90.2,90.5,89.8
153,Cesar Chavez PCS for Public Policy - Capitol Hill,57.2,2,59,61.7,55.1,68.2,6.5,0.9,66.4,76.6,28.3,35.2,94.5,12.1,12.1,88.6,78.8,66
109,Cesar Chavez PCS for Public Policy - Parkside HS,65.2,1,58.9,59.4,50,72.8,6.5,1.1,68.2,90.4,38.8,50.0,100.0,7.5,7.5,90.1,84.5,81
1138,E.L. Haynes PCS - Kansas Ave (High School),61.9,2,47,48,44.9,61.5,5.1,6.4,N/A,N/A,43.5,N/A,N/A,N/A,N/A,91.5,89.2,71.2
186,Friendship PCS - Collegiate Academy,60.2,2,49.9,45.7,46.1,47.2,4.1,3.1,90.9,97.6,20,32.9,100.0,11.1,16.7,91.6,85.2,93.9
1124,Friendship PCS - Technology Preparatory Academy,55.9,2,52.8,54.4,44.1,50.8,6.8,1.7,N/A,N/A,36.7,N/A,N/A,N/A,N/A,91.3,76.6,80.7
160,Hospitality High PCS,26.5,3,37.4,50.8,25,37.5,6.3,3.1,33.3,80.4,10.3,30.3,97.0,6.1,39.4,80.9,74.1,22.5
163,IDEA (Integrated Desgin & Electronic Academy) PCS,54.4,2,66.3,61.7,56.5,67.4,6.5,0,32.3,74.6,22.7,35.0,97.5,0.0,0.0,89.1,85,56.3
1123,KIPP DC - College Preparatory PCS,83.6,1,48.3,60.1,71,95.4,18.7,35.2,85.1,97.6,35.3,71.9,100.0,38.6,38.6,93.7,89.8,81.8
101,Maya Angelou PCS - Evans High School,13.7,N/A,54.4,35.9,30,17.5,0,2.5,43.9,56.1,14,10.6,53.0,0.0,0.0,76.4,72.7,38
1120,National Collegiate Preparatory PCHS,41.6,2,62,45.5,33.3,26.1,4.3,1.4,73.3,83.6,23.3,38.6,100.0,8.6,8.6,81.5,75.7,89
169,Options PCS (High School),8.3,N/A,42.9,43.7,5.7,5.7,0,0,50.0,60.4,0,1.6,36.1,0.0,0.0,72.3,70.3,54.5
222,Paul PCS - International High School,49.1,N/A,48,34,50.5,44.1,7.5,3.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.7,N/A,92.4
161,Perry Street Preparatory PCS (Upper School),32,3,46.1,36.7,32.9,31.6,9.2,0,68.3,81.4,14.6,15.0,91.0,0.0,8.0,87.3,77.6,72.1
3067,Richard Wright PCS for Journalism and Media Arts,48,2,56.5,36.6,51.4,38.2,7.6,2.9,N/A,N/A,13,N/A,N/A,N/A,N/A,87.3,86.9,96.5
174,"SEED Public Charter School of Washington, DC (High)",65.7,1,38.7,52.8,63.6,97,6.1,3,90.9,97.2,71.4,57.1,81.0,0.0,0.0,93.5,80.9,92
191,Thurgood Marshall Academy,79.6,1,66.3,84.8,69.8,84.4,8.3,4.2,77.3,92.3,48.8,59.8,100.0,22.0,41.5,93.4,84.1,73
1118,Washington Latin PCS - Upper School,82.2,1,45.9,65.1,62.7,70.1,22.4,11.9,85.2,95.7,53.8,70.8,97.9,39.6,39.6,95,95.3,97.8
178,Washington Mathematics Science Technology PCHS,59.6,2,56,46.5,50.7,40,14.7,1.3,89.7,92.3,21.3,43.0,98.8,4.7,7.0,93.1,81.7,92.2
